class,shLA,elLA,shRA,elRA
Pose 1,30.69868129,164.9312846,27.03971021,172.3832719
Pose 1,30.83218749,165.2384552,27.75568046,173.4968634
Pose 1,31.38399069,165.6134821,28.31460833,175.252228
Pose 1,31.61023491,166.8895169,27.81731094,175.1239225
Pose 1,31.37099904,166.461879,28.00868457,176.4663914
Pose 1,30.4814898,165.1251892,27.54966972,175.6422349
Pose 1,30.13444076,164.0813175,27.52274645,174.7088161
Pose 1,26.80541287,160.6854048,26.71701985,176.0952015
Pose 1,25.09011665,160.277673,26.90521722,176.6006809
Pose 1,23.64956439,159.5715695,26.98541707,177.5303806
Pose 1,22.78289067,159.3907908,26.75481289,178.139623
Pose 1,22.59200924,159.5803911,26.50203898,177.773745
Pose 1,22.99961533,160.1955541,26.55521381,178.3310592
Pose 2,133.0482486,163.9113286,24.77326567,172.9871387
Pose 2,131.5182019,161.5495232,24.79284577,172.6718172
Pose 2,130.9835992,160.7526031,24.80431537,172.6477058
Pose 2,130.8682897,160.5002407,24.77292284,172.6550696
Pose 2,130.6469871,160.1787568,24.72198092,172.6836483
Pose 2,130.5388897,159.9950392,24.71503716,172.7640138
Pose 2,130.4647546,159.8604738,24.71099802,172.9365849
Pose 2,130.3254844,159.5109098,24.64561767,172.9256654
Pose 2,130.3041388,159.3178499,24.63029453,172.928435
Pose 2,130.398098,159.3197268,24.56611029,172.8197718
Pose 2,130.393282,159.2219639,24.51111131,172.8379854
Pose 2,130.484436,159.3564766,24.459042,172.7910152
Pose 2,130.5556798,159.4736452,24.37685091,172.6403865
Pose 2,130.7245766,159.6759645,24.32193828,172.3702282
Pose 2,130.7625308,159.733453,24.41257216,172.3840707
Pose 2,130.8707603,159.9740542,24.42930383,172.3267599
Pose 2,130.9588573,160.1363325,24.4696062,172.3726144
Pose 2,130.9680453,160.11548,24.55996786,172.3293863
Pose 2,130.9485087,160.0790804,24.61200162,172.3978039
Pose 2,130.7999019,159.9112927,24.64149476,172.49817
Pose 2,130.861271,159.981949,24.65964634,172.4612794
Pose 2,130.7908773,159.9127642,24.60334786,172.265767
Pose 2,130.6532766,159.7019519,24.64506258,172.3551212
Pose 2,130.511016,159.4614029,24.65367164,172.2641313
Pose 2,130.4016442,159.3018451,24.7907573,172.3200311
Pose 2,130.273524,159.1588133,24.86519785,172.3444291
Pose 2,130.0172588,158.6099559,24.9377023,172.4502608
Pose 2,129.9815328,158.6509566,24.9746284,172.4693553
Pose 2,129.8415322,158.2899577,25.01380473,172.5294028
Pose 2,129.7082458,158.2004929,25.03510433,172.541284
Pose 2,129.647686,158.1027546,25.10503742,172.6186026
Pose 2,129.6313975,158.2171739,25.16352118,172.803008
Pose 2,129.4849856,158.0815516,25.16602372,172.8561774
Pose 2,129.5623632,158.3601777,25.17443833,172.9373024
Pose 2,129.4303251,158.6282359,25.30441887,172.8405025
Pose 2,129.2109704,158.6471598,25.33206038,172.6788586
Pose 2,128.8904123,158.3513082,25.37962323,172.5814815
Pose 2,128.8252736,158.2864725,25.46457907,172.5557726
Pose 2,128.762413,158.2419316,25.46451312,172.4238518
Pose 2,128.7038732,158.1302596,25.72096425,172.0322406
Pose 2,128.8424163,158.4125044,25.66823633,171.7845865
Pose 2,128.8951014,158.4585395,25.69058697,171.629548
Pose 2,128.9371377,158.4906049,25.71108877,171.5588823
Pose 2,128.9827239,158.5545668,25.72567314,171.6402781
Pose 2,129.0377274,158.6244666,25.69296124,171.6688839
Pose 2,128.9956634,158.6087302,25.65842829,171.6805132
Pose 2,129.0333539,158.7612653,25.64044882,171.7857543
Pose 2,129.0524787,158.7761015,25.63250591,171.7949947
Pose 2,129.0911911,158.8582234,25.63618048,171.8148972
Pose 2,129.0256714,158.8645657,25.64537887,171.8446545
Pose 2,128.9760172,158.8269179,25.65123275,171.7723909
Pose 2,128.7420605,158.579293,25.71734429,171.7804938
Pose 2,128.6436218,158.4467304,25.74167962,171.7702761
Pose 2,128.4505964,158.151233,25.76109449,172.0483133
Pose 2,128.3130027,157.9855181,25.76744302,172.310421
Pose 2,128.3050256,157.931607,25.75441243,172.3978172
Pose 2,128.3292862,157.9133947,25.74292101,172.4629185
Pose 2,128.2976911,157.7807745,25.74586188,172.4839337
Pose 2,128.2705317,157.721654,25.62112943,172.8210097
Pose 2,128.1575028,157.7035685,25.60958304,173.2100745
Pose 2,128.1005043,157.6580529,25.62054427,173.4357648
Pose 2,128.0464828,157.5981652,25.52463611,173.3904105
Pose 2,128.0001853,157.5152865,25.58731099,173.2936512
Pose 2,127.9156337,157.3821032,25.61425042,173.2385434
Pose 2,127.8933317,157.363691,25.65589569,173.2724282
Pose 2,127.7902535,157.2415521,25.68798524,173.3286563
Pose 2,127.7995718,157.1906509,25.70379832,173.2424382
Pose 2,127.7934297,157.0900357,25.66998231,173.2513077
Pose 2,127.7953616,157.0478701,25.67027883,173.3070918
Pose 2,127.7409843,156.9669596,25.58293721,173.2975165
Pose 2,127.6715817,156.8274773,25.54458317,173.2042653
Pose 2,127.3958369,156.4462923,25.55966717,173.2226343
Pose 2,127.3165633,156.2027401,25.54848331,173.2542565
Pose 2,127.2855106,156.1655962,25.52084619,173.2540103
Pose 2,127.273014,156.1255606,25.50798466,173.2408836
Pose 2,127.2861324,156.1407539,25.51626477,173.2036396
Pose 2,127.2802957,156.1207617,25.49769327,173.2357862
Pose 2,127.3111675,156.1820582,25.46904253,173.2290688
Pose 2,127.2265211,156.0520456,25.41589379,173.2206979
Pose 2,127.2924939,156.118059,25.42252775,173.2531519
Pose 2,127.3734709,156.1634429,25.40650156,173.2638445
Pose 2,127.4168602,156.218804,25.40625657,173.379331
Pose 2,127.3974215,156.1575294,25.38938152,173.3894866
Pose 2,127.3487003,156.0703639,25.37449128,173.4809131
Pose 2,127.3196611,156.0467877,25.37805731,173.5175536
Pose 2,127.3116198,156.0527423,25.35652987,173.4455009
Pose 2,127.3111016,156.065467,25.34973029,173.3256382
Pose 2,127.2497353,156.0280858,25.33081936,173.3374088
Pose 2,127.2419935,156.057387,25.41643543,173.4701746
Pose 2,127.2434809,156.0611408,25.41129355,173.3153393
Pose 2,127.2526966,156.0931492,25.4444203,173.2864903
Pose 2,127.1889538,156.0406673,25.45622363,172.8980967
Pose 2,127.1723133,155.9765826,25.45378439,172.796565
Pose 2,127.1043472,155.9078178,25.50582198,172.7592058
Pose 2,126.997385,155.8505887,25.50279724,172.6897679
Pose 2,127.0508499,155.9308782,25.50060421,172.6787465
Pose 2,126.9784102,155.8435818,25.55098998,172.6505195
Pose 2,126.9702901,155.8711441,25.59760343,172.529174
Pose 2,127.013354,155.8515383,25.63734981,172.5745094
Pose 2,127.1189185,155.9135787,25.65841827,172.6243954
Pose 2,127.1521923,155.9900005,25.69102205,172.639005
Pose 2,127.0863917,155.978339,25.70950687,172.6528232
Pose 2,126.936884,155.8433359,25.72391975,172.691819
Pose 2,126.5164916,155.3060346,25.75480202,172.615607
Pose 2,126.3391143,155.1991132,25.81540135,172.3203345
Pose 2,126.1970664,155.3666736,25.99810804,172.2305265
Pose 2,126.0904198,155.643943,26.26514785,172.0710928
Pose 2,125.8466205,155.6123962,26.49809564,171.8080675
Pose 2,125.4570767,155.3902458,26.74789343,171.5128054
Pose 2,124.8407291,155.0984913,27.51611798,171.5989523
Pose 2,124.3117789,155.1407988,28.75477608,172.9370583
Pose 2,124.0133272,155.0960101,29.25694664,173.4710697
Pose 2,123.7033018,155.0929781,29.5717119,173.7201862
Pose 2,123.5511681,155.3435829,29.62470247,173.7376607
Pose 2,122.960137,155.5033305,30.3019061,174.5851513
Pose 2,122.3202884,155.7920582,30.3827625,175.0422478
Pose 2,121.3542949,154.9860272,30.32355976,175.2255246
Pose 2,121.3469923,155.1589784,30.44795291,175.7994177
Pose 2,121.1792178,155.2482491,30.49428735,175.628052
Pose 2,121.1097653,155.2057275,30.50975933,175.5353845
Pose 2,121.3926983,155.747999,30.54844986,175.6342139
Pose 2,121.2258233,155.6246207,30.42954424,174.0114641
Pose 2,120.9032097,155.0784208,30.4068133,173.5027902
Pose 2,120.9188139,155.0456308,30.44479509,172.7191276
Pose 2,120.0048013,153.5710598,30.59097824,172.0770443
Pose 2,119.0493053,151.9755139,30.60851308,171.5551503
Pose 2,118.579595,151.151752,30.61270631,171.3066115
Pose 2,118.490597,150.6438236,30.691026,170.9343129
Pose 2,116.5636665,148.5627465,30.71595171,170.6642889
Pose 2,114.5296074,146.5957334,30.63110668,170.5848083
Pose 2,112.5698881,144.9997352,30.43876515,170.2010798
Pose 2,110.7295318,143.4930405,30.20623282,169.6870706
Pose 2,109.5236959,142.3534146,30.08868988,169.4379305
Pose 2,107.4441302,140.3419724,29.65967275,169.8761025
Pose 2,104.3886124,137.9511273,29.15659393,170.3848812
Pose 2,103.4153478,137.9285807,28.75341809,170.9259928
Pose 2,101.0352184,135.2263333,28.43592405,171.2660117
Pose 2,99.46912253,133.4561241,28.20137705,171.4973925
Pose 2,97.620584,131.2162821,27.9505187,171.8238909
Pose 2,95.23267102,129.1651699,27.69117749,171.5905037
Pose 2,94.39868214,129.0652331,27.58862484,171.9472313
Pose 2,93.94357606,128.5898242,27.33815138,171.8490146
Pose 2,94.65578413,128.8672715,27.09697396,172.6380471
Pose 2,94.97037868,128.7700488,26.91172983,173.0361555
Pose 2,96.354287,130.0318559,26.82079115,173.4263837
Pose 2,99.12004977,133.2067465,26.68528266,173.7042404
Pose 2,101.1953576,133.694029,26.65294201,174.3105547
Pose 2,103.6115475,134.4470725,26.63215107,174.9175234
Pose 2,105.944476,135.6256982,26.61282079,175.421719
Pose 2,112.4399928,139.8385092,26.54753235,175.6905665
Pose 2,114.876594,142.2147512,26.4139485,176.0187159
Pose 2,115.6507682,143.1241456,26.24451263,175.7559243
Pose 2,117.0774361,143.6756433,26.03131659,175.5914435
Pose 2,118.0884764,144.4958114,26.03235111,175.6884984
Pose 2,120.7831417,146.6379012,25.84701882,175.3019863
Pose 2,121.238641,146.6953737,25.68459718,174.9310885
Pose 2,121.246625,146.6370993,25.66134177,174.7592695
Pose 2,121.5659362,147.0842942,25.66822365,174.3951543
Pose 2,121.8640213,147.4480484,25.78714311,174.3019983
Pose 2,122.0940452,147.7959533,25.88555749,173.8166899
Pose 2,123.4496311,149.5613429,26.90689885,174.2936051
Pose 2,124.5594984,150.8526407,27.53176815,174.4464975
Pose 2,125.1732544,151.4738027,28.05826634,174.367227
Pose 2,125.4037213,151.6694819,28.41515112,174.1658955
Pose 2,125.4631995,151.6503791,28.65253876,174.3036642
Pose 2,125.727785,151.9630374,28.75020478,174.2246119
Pose 2,125.4965738,151.6775426,28.91800421,174.6540776
Pose 2,124.7001461,150.767994,28.86242622,174.7413639
Pose 2,123.0336529,148.905324,28.93642555,174.911198
Pose 2,116.9109479,140.8024621,28.92418757,174.9302122
Pose 2,108.3823488,128.8407133,28.7765215,175.1254771
Pose 2,95.59455474,112.4533013,28.61273729,175.5546269
Pose 3,107.7671717,162.6945188,44.07805969,137.4650051
Pose 3,107.3806405,163.3153363,44.19818427,137.9707611
Pose 3,107.0612506,164.2126558,44.20769877,138.4567459
Pose 3,106.9468934,165.0940805,44.34965819,138.9211214
Pose 3,106.6693919,165.3902954,44.4243515,139.3543694
Pose 3,106.1956223,164.9032961,44.46736828,139.4823288
Pose 3,105.925045,164.7192134,44.57810024,139.5815593
Pose 3,105.9666894,164.9728154,44.77489158,139.1576158
Pose 3,106.0182162,165.1302334,44.84433632,138.7818982
Pose 3,106.1104646,165.1388827,44.90071276,137.9839484
Pose 3,106.1703388,165.4184867,45.32070541,137.2263581
Pose 3,106.2795969,165.6782087,45.61802607,136.9282725
Pose 3,106.3471325,165.7867485,45.97211422,136.8998643
Pose 3,106.4318351,165.7624837,46.39139072,137.2594914
Pose 3,106.4984813,165.8215483,46.84120828,137.8277567
Pose 3,106.6956329,165.9416125,47.5431491,138.6974073
Pose 3,106.6388997,165.7202998,47.83578819,138.8231159
Pose 3,106.3650663,165.3002403,47.98911721,139.111755
Pose 3,105.8072989,164.7163613,48.22340418,138.038763
Pose 3,104.5623475,163.6037329,48.49281092,136.0012171
Pose 3,103.2070058,162.923928,49.15394551,135.2867042
Pose 3,100.523889,161.5765414,50.74080289,132.3704071
Pose 3,98.79676324,160.4806388,51.7027995,127.6656614
Pose 3,98.16904727,160.0335731,52.16015087,126.8746395
Pose 3,97.533747,159.4548294,52.51599365,128.6653067
Pose 3,97.61328673,160.6879552,52.9902941,128.6189291
Pose 3,97.7331032,161.8455393,53.30259101,128.5934798
Pose 3,97.60954676,162.0690757,53.63182096,126.98531
Pose 3,97.0445884,162.3461625,55.29835318,128.3874651
Pose 3,96.9786901,162.4678231,56.00171772,128.3512667
Pose 3,96.82818658,162.2705248,56.09388584,127.585388
Pose 3,96.7364584,162.0798203,56.20540152,127.3363209
Pose 3,97.05635516,162.3362175,56.39089314,128.5367794
Pose 3,97.18476683,161.8331423,56.3123317,128.8762146
Pose 3,97.59898656,161.1635442,55.73533988,128.4360292
Pose 3,98.22458219,160.2285402,55.24849366,128.3687866
Pose 3,98.74152999,157.0858097,53.11811275,129.6863582
Pose 3,99.1183634,155.2184348,51.29830736,129.7594561
Pose 3,99.29241141,154.3911834,50.23337957,129.0828883
Pose 3,99.74805478,154.1236276,49.89452309,130.9358264
Pose 3,99.63341075,153.8971501,48.27955618,138.2555796
Pose 3,99.56151948,153.7801118,46.77876233,139.0771409
Pose 3,99.56734692,153.8571034,45.6979151,138.2589761
Pose 3,99.19511922,153.9774789,44.58249072,138.5177793
Pose 3,98.93523297,154.3833468,43.9740029,137.6583363
Pose 3,98.33630165,154.544465,43.86230127,135.9699551
Pose 3,97.69420082,155.3808138,43.94890634,135.9955727
Pose 3,96.66305948,156.0292448,44.13198376,135.7567689
Pose 3,95.31987893,155.8481365,44.20707409,135.5700516
Pose 3,94.02527369,156.7938253,44.25746459,132.457889
Pose 3,91.01757798,156.144645,44.56636002,130.1062718
Pose 3,89.62305977,156.3366185,44.60634863,129.4216935
Pose 3,88.00742816,154.9591161,44.81683972,127.832576
Pose 3,86.43529582,153.7089287,45.00452177,127.1103533
Pose 3,85.5238387,152.5073149,45.06382677,127.5704192
Pose 3,85.33343005,152.789801,45.18624515,127.4824259
Pose 3,84.95114687,152.2969147,45.19240562,127.2771049
Pose 3,85.46762333,151.9226204,45.36653741,127.2414264
Pose 3,86.90341524,153.7085286,45.50670672,127.2597613
Pose 3,89.19828448,156.591858,45.73360758,127.5705762
Pose 3,90.96173529,158.3741156,45.91061675,127.9636058
Pose 3,92.58831307,159.0953825,45.95716858,128.1832476
Pose 3,93.85925027,159.5495113,45.67187465,128.8880596
Pose 3,94.37623799,158.8187025,45.59108342,129.3325302
Pose 3,94.92667776,159.0323956,45.58374218,129.9479854
Pose 3,95.35083405,158.1576964,45.19899348,131.3251141
Pose 3,95.55272054,157.6043716,44.91163627,131.9884669
Pose 3,95.82422809,157.4502747,44.74562225,132.1961071
Pose 3,96.14439649,157.6304835,44.72471302,132.2600196
Pose 3,96.27268569,157.0760545,44.723717,132.3208802
Pose 3,97.21590886,155.7946997,44.80204813,132.400537
Pose 3,98.07286834,155.4744583,44.76694368,132.364909
Pose 3,99.70473446,155.4713502,44.92022798,132.7318586
Pose 3,100.3420371,155.4949363,44.98356346,132.8558501
Pose 3,101.4015591,155.9265505,45.19828928,133.1608928
Pose 3,102.8066053,156.6241561,45.40294774,133.459481
Pose 3,104.5598695,157.3294192,45.64858925,133.7058179
Pose 3,106.2303017,157.6218571,45.91460489,134.2767422
Pose 3,109.276226,156.9395789,46.05349499,134.3920721
Pose 3,110.8647282,156.4852812,46.011149,134.3396249
Pose 3,112.3995402,155.9246357,45.81308258,133.9874702
Pose 3,113.161006,156.3746963,45.67592293,133.2731463
Pose 3,113.725509,156.590159,45.55803896,132.970831
Pose 3,114.5833118,156.7644957,45.37158851,132.6114675
Pose 3,115.182548,156.1951708,45.29233913,132.2006902
Pose 3,118.4343114,156.3793498,45.31224704,132.0782781
Pose 3,119.1374466,156.5658967,45.2823276,132.0432875
Pose 3,119.4351854,156.8063563,45.26178919,131.9790895
Pose 3,120.1853962,157.0160596,45.33230757,132.0096467
Pose 3,120.1647154,156.7349203,45.32029769,131.9024518
Pose 3,119.8092179,157.3027682,45.4739478,132.0555891
Pose 3,119.4943306,157.3031855,45.51043085,132.1180187
Pose 3,118.1113802,156.2533702,45.6424847,132.2963487
Pose 3,116.0623354,156.5627193,45.78592311,132.6215394
